YEAR,MONTH,DAY_OF_MONTH,FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CRS_ARR_TIME,ARR_TIME,ARR_DELAY_NEW,CANCELLED
2017,12,1,12/1/17,WN,137,13204,1320402,31454,MCO,10257,1025702,30257,ALB,705,659,0,945,943,0,0
2017,12,1,12/1/17,WN,6247,13204,1320402,31454,MCO,10257,1025702,30257,ALB,1250,1246,0,1530,1527,0,0
2017,12,1,12/1/17,WN,1700,13204,1320402,31454,MCO,10792,1079204,30792,BUF,1455,1448,0,1730,1726,0,0
2017,12,1,12/1/17,WN,1960,13204,1320402,31454,MCO,10792,1079204,30792,BUF,850,847,0,1125,1120,0,0
2017,12,1,12/1/17,WN,498,13204,1320402,31454,MCO,12391,1239102,31703,ISP,1515,1510,0,1740,1734,0,0
2017,12,1,12/1/17,WN,4441,13204,1320402,31454,MCO,12391,1239102,31703,ISP,910,906,0,1140,1132,0,0
2017,12,1,12/1/17,WN,6387,13204,1320402,31454,MCO,12391,1239102,31703,ISP,2230,2226,0,100,46,0,0
2017,12,1,12/1/17,WN,465,13204,1320402,31454,MCO,14576,1457604,34576,ROC,750,746,0,1030,1022,0,0
2017,12,1,12/1/17,WN,138,13232,1323202,30977,MDW,10257,1025702,30257,ALB,1400,1352,0,1645,1633,0,0
2017,12,1,12/1/17,WN,5581,13232,1323202,30977,MDW,10257,1025702,30257,ALB,2210,2203,0,100,40,0,0
2017,12,1,12/1/17,WN,1599,13232,1323202,30977,MDW,10792,1079204,30792,BUF,750,745,0,1015,1005,0,0
2017,12,1,12/1/17,WN,5590,13232,1323202,30977,MDW,10792,1079204,30792,BUF,2210,2206,0,40,22,0,0
